Neighborhood,Id,Estimate; Total:,Margin of Error; Total:,Estimate; Male:,Margin of Error; Male:,"Estimate; Male: - Management, business, science, and arts occupations:","Margin of Error; Male: - Management, business, science, and arts occupations:","Estimate; Male: - Management, business, science, and arts occupations: - Management, business, and financial occupations:","Margin of Error; Male: - Management, business, science, and arts occupations: - Management, business, and financial occupations:","Estimate; Male: - Management, business, science, and arts occupations: - Management, business, and financial occupations: - Management occupations","Margin of Error; Male: - Management, business, science, and arts occupations: - Management, business, and financial occupations: - Management occupations","Estimate; Male: - Management, business, science, and arts occupations: - Management, business, and financial occupations: - Business and financial operations occupations","Margin of Error; Male: - Management, business, science, and arts occupations: - Management, business, and financial occupations: - Business and financial operations occupations","Estimate; Male: - Management, business, science, and arts occupations: - Computer, engineering, and science occupations:","Margin of Error; Male: - Management, business, science, and arts occupations: - Computer, engineering, and science occupations:","Estimate; Male: - Management, business, science, and arts occupations: - Computer, engineering, and science occupations: - Computer and mathematical occupations","Margin of Error; Male: - Management, business, science, and arts occupations: - Computer, engineering, and science occupations: - Computer and mathematical occupations","Estimate; Male: - Management, business, science, and arts occupations: - Computer, engineering, and science occupations: - Architecture and engineering occupations","Margin of Error; Male: - Management, business, science, and arts occupations: - Computer, engineering, and science occupations: - Architecture and engineering occupations","Estimate; Male: - Management, business, science, and arts occupations: - Computer, engineering, and science occupations: - Life, physical, and social science occupations","Margin of Error; Male: - Management, business, science, and arts occupations: - Computer, engineering, and science occupations: - Life, physical, and social science occupations","Estimate; Male: - Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations:","Margin of Error; Male: - Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations:","Estimate; Male: - Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations: - Community and social service occupations","Margin of Error; Male: - Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations: - Community and social service occupations","Estimate; Male: - Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations: - Legal occupations","Margin of Error; Male: - Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations: - Legal occupations","Estimate; Male: - Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations: - Education, training, and library occupations","Margin of Error; Male: - Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations: - Education, training, and library occupations","Estimate; Male: - Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations: - Arts, design, entertainment, sports, and media occupations","Margin of Error; Male: - Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations: - Arts, design, entertainment, sports, and media occupations","Estimate; Male: - Management, business, science, and arts occupations: - Healthcare practitioners and technical occupations:","Margin of Error; Male: - Management, business, science, and arts occupations: - Healthcare practitioners and technical occupations:","Estimate; Male: - Management, business, science, and arts occupations: - Healthcare practitioners and technical occupations: - Health diagnosing and treating practitioners and other technical occupations","Margin of Error; Male: - Management, business, science, and arts occupations: - Healthcare practitioners and technical occupations: - Health diagnosing and treating practitioners and other technical occupations","Estimate; Male: - Management, business, science, and arts occupations: - Healthcare practitioners and technical occupations: - Health technologists and technicians","Margin of Error; Male: - Management, business, science, and arts occupations: - Healthcare practitioners and technical occupations: - Health technologists and technicians",Estimate; Male: - Service occupations:,Margin of Error; Male: - Service occupations:,Estimate; Male: - Service occupations: - Healthcare support occupations,Margin of Error; Male: - Service occupations: - Healthcare support occupations,Estimate; Male: - Service occupations: - Protective service occupations:,Margin of Error; Male: - Service occupations: - Protective service occupations:,"Estimate; Male: - Service occupations: - Protective service occupations: - Fire fighting and prevention, and other protective service workers including supervisors","Margin of Error; Male: - Service occupations: - Protective service occupations: - Fire fighting and prevention, and other protective service workers including supervisors",Estimate; Male: - Service occupations: - Protective service occupations: - Law enforcement workers including supervisors,Margin of Error; Male: - Service occupations: - Protective service occupations: - Law enforcement workers including supervisors,Estimate; Male: - Service occupations: - Food preparation and serving related occupations,Margin of Error; Male: - Service occupations: - Food preparation and serving related occupations,Estimate; Male: - Service occupations: - Building and grounds cleaning and maintenance occupations,Margin of Error; Male: - Service occupations: - Building and grounds cleaning and maintenance occupations,Estimate; Male: - Service occupations: - Personal care and service occupations,Margin of Error; Male: - Service occupations: - Personal care and service occupations,Estimate; Male: - Sales and office occupations:,Margin of Error; Male: - Sales and office occupations:,Estimate; Male: - Sales and office occupations: - Sales and related occupations,Margin of Error; Male: - Sales and office occupations: - Sales and related occupations,Estimate; Male: - Sales and office occupations: - Office and administrative support occupations,Margin of Error; Male: - Sales and office occupations: - Office and administrative support occupations,"Estimate; Male: - Natural resources, construction, and maintenance occupations:","Margin of Error; Male: - Natural resources, construction, and maintenance occupations:","Estimate; Male: - Natural resources, construction, and maintenance occupations: - Farming, fishing, and forestry occupations","Margin of Error; Male: - Natural resources, construction, and maintenance occupations: - Farming, fishing, and forestry occupations","Estimate; Male: - Natural resources, construction, and maintenance occupations: - Construction and extraction occupations","Margin of Error; Male: - Natural resources, construction, and maintenance occupations: - Construction and extraction occupations","Estimate; Male: - Natural resources, construction, and maintenance occupations: - Installation, maintenance, and repair occupations","Margin of Error; Male: - Natural resources, construction, and maintenance occupations: - Installation, maintenance, and repair occupations","Estimate; Male: - Production, transportation, and material moving occupations:","Margin of Error; Male: - Production, transportation, and material moving occupations:","Estimate; Male: - Production, transportation, and material moving occupations: - Production occupations","Margin of Error; Male: - Production, transportation, and material moving occupations: - Production occupations","Estimate; Male: - Production, transportation, and material moving occupations: - Transportation occupations","Margin of Error; Male: - Production, transportation, and material moving occupations: - Transportation occupations","Estimate; Male: - Production, transportation, and material moving occupations: - Material moving occupations","Margin of Error; Male: - Production, transportation, and material moving occupations: - Material moving occupations",Estimate; Female:,Margin of Error; Female:,"Estimate; Female: - Management, business, science, and arts occupations:","Margin of Error; Female: - Management, business, science, and arts occupations:","Estimate; Female: - Management, business, science, and arts occupations: - Management, business, and financial occupations:","Margin of Error; Female: - Management, business, science, and arts occupations: - Management, business, and financial occupations:","Estimate; Female: - Management, business, science, and arts occupations: - Management, business, and financial occupations: - Management occupations","Margin of Error; Female: - Management, business, science, and arts occupations: - Management, business, and financial occupations: - Management occupations","Estimate; Female: - Management, business, science, and arts occupations: - Management, business, and financial occupations: - Business and financial operations occupations","Margin of Error; Female: - Management, business, science, and arts occupations: - Management, business, and financial occupations: - Business and financial operations occupations","Estimate; Female: - Management, business, science, and arts occupations: - Computer, engineering, and science occupations:","Margin of Error; Female: - Management, business, science, and arts occupations: - Computer, engineering, and science occupations:","Estimate; Female: - Management, business, science, and arts occupations: - Computer, engineering, and science occupations: - Computer and mathematical occupations","Margin of Error; Female: - Management, business, science, and arts occupations: - Computer, engineering, and science occupations: - Computer and mathematical occupations","Estimate; Female: - Management, business, science, and arts occupations: - Computer, engineering, and science occupations: - Architecture and engineering occupations","Margin of Error; Female: - Management, business, science, and arts occupations: - Computer, engineering, and science occupations: - Architecture and engineering occupations","Estimate; Female: - Management, business, science, and arts occupations: - Computer, engineering, and science occupations: - Life, physical, and social science occupations","Margin of Error; Female: - Management, business, science, and arts occupations: - Computer, engineering, and science occupations: - Life, physical, and social science occupations","Estimate; Female: - Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations:","Margin of Error; Female: - Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations:","Estimate; Female: - Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations: - Community and social service occupations","Margin of Error; Female: - Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations: - Community and social service occupations","Estimate; Female: - Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations: - Legal occupations","Margin of Error; Female: - Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations: - Legal occupations","Estimate; Female: - Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations: - Education, training, and library occupations","Margin of Error; Female: - Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations: - Education, training, and library occupations","Estimate; Female: - Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations: - Arts, design, entertainment, sports, and media occupations","Margin of Error; Female: - Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations: - Arts, design, entertainment, sports, and media occupations","Estimate; Female: - Management, business, science, and arts occupations: - Healthcare practitioners and technical occupations:","Margin of Error; Female: - Management, business, science, and arts occupations: - Healthcare practitioners and technical occupations:","Estimate; Female: - Management, business, science, and arts occupations: - Healthcare practitioners and technical occupations: - Health diagnosing and treating practitioners and other technical occupations","Margin of Error; Female: - Management, business, science, and arts occupations: - Healthcare practitioners and technical occupations: - Health diagnosing and treating practitioners and other technical occupations","Estimate; Female: - Management, business, science, and arts occupations: - Healthcare practitioners and technical occupations: - Health technologists and technicians","Margin of Error; Female: - Management, business, science, and arts occupations: - Healthcare practitioners and technical occupations: - Health technologists and technicians",Estimate; Female: - Service occupations:,Margin of Error; Female: - Service occupations:,Estimate; Female: - Service occupations: - Healthcare support occupations,Margin of Error; Female: - Service occupations: - Healthcare support occupations,Estimate; Female: - Service occupations: - Protective service occupations:,Margin of Error; Female: - Service occupations: - Protective service occupations:,"Estimate; Female: - Service occupations: - Protective service occupations: - Fire fighting and prevention, and other protective service workers including supervisors","Margin of Error; Female: - Service occupations: - Protective service occupations: - Fire fighting and prevention, and other protective service workers including supervisors",Estimate; Female: - Service occupations: - Protective service occupations: - Law enforcement workers including supervisors,Margin of Error; Female: - Service occupations: - Protective service occupations: - Law enforcement workers including supervisors,Estimate; Female: - Service occupations: - Food preparation and serving related occupations,Margin of Error; Female: - Service occupations: - Food preparation and serving related occupations,Estimate; Female: - Service occupations: - Building and grounds cleaning and maintenance occupations,Margin of Error; Female: - Service occupations: - Building and grounds cleaning and maintenance occupations,Estimate; Female: - Service occupations: - Personal care and service occupations,Margin of Error; Female: - Service occupations: - Personal care and service occupations,Estimate; Female: - Sales and office occupations:,Margin of Error; Female: - Sales and office occupations:,Estimate; Female: - Sales and office occupations: - Sales and related occupations,Margin of Error; Female: - Sales and office occupations: - Sales and related occupations,Estimate; Female: - Sales and office occupations: - Office and administrative support occupations,Margin of Error; Female: - Sales and office occupations: - Office and administrative support occupations,"Estimate; Female: - Natural resources, construction, and maintenance occupations:","Margin of Error; Female: - Natural resources, construction, and maintenance occupations:","Estimate; Female: - Natural resources, construction, and maintenance occupations: - Farming, fishing, and forestry occupations","Margin of Error; Female: - Natural resources, construction, and maintenance occupations: - Farming, fishing, and forestry occupations","Estimate; Female: - Natural resources, construction, and maintenance occupations: - Construction and extraction occupations","Margin of Error; Female: - Natural resources, construction, and maintenance occupations: - Construction and extraction occupations","Estimate; Female: - Natural resources, construction, and maintenance occupations: - Installation, maintenance, and repair occupations","Margin of Error; Female: - Natural resources, construction, and maintenance occupations: - Installation, maintenance, and repair occupations","Estimate; Female: - Production, transportation, and material moving occupations:","Margin of Error; Female: - Production, transportation, and material moving occupations:","Estimate; Female: - Production, transportation, and material moving occupations: - Production occupations","Margin of Error; Female: - Production, transportation, and material moving occupations: - Production occupations","Estimate; Female: - Production, transportation, and material moving occupations: - Transportation occupations","Margin of Error; Female: - Production, transportation, and material moving occupations: - Transportation occupations","Estimate; Female: - Production, transportation, and material moving occupations: - Material moving occupations","Margin of Error; Female: - Production, transportation, and material moving occupations: - Material moving occupations"
Allegheny Center,1,579,131,377,112,232,91,56,31,35,25,21,18,72,51,60,50,6,10,6,9,53,50,0,10,7,10,5,8,41,46,51,31,44,29,7,11,34,27,0,10,0,10,0,10,0,10,20,22,6,10,8,12,70,49,26,23,44,43,29,36,7,10,22,35,0,10,12,18,12,18,0,10,0,10,202,65,84,47,56,43,19,16,37,41,0,10,0,10,0,10,0,10,15,16,0,10,4,7,0,10,11,12,13,15,13,15,0,10,60,35,20,32,0,10,0,10,0,10,7,11,0,10,33,22,51,27,10,11,41,25,7,10,7,10,0,10,0,10,0,10,0,10,0,10,0,10
Allegheny West,2,221,80,133,50,52,31,12,12,6,9,6,8,18,16,12,13,6,9,0,10,15,15,0,10,6,10,9,10,0,10,7,10,0,10,7,10,23,29,0,10,0,10,0,10,0,10,18,27,5,8,0,10,42,27,37,26,5,8,6,9,0,10,6,9,0,10,10,23,0,10,0,10,10,23,88,48,49,30,26,23,6,8,20,22,0,10,0,10,0,10,0,10,17,16,0,10,0,10,10,11,7,10,6,8,6,8,0,10,18,17,0,10,0,10,0,10,0,10,18,17,0,10,0,10,21,19,0,10,21,19,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10
Allentown,3,841.0,170.064693573,283.0,100.742245359,65.0,56.6038867924,39.0,53.8887743412,39.0,53.8887743412,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,19.0,23.0867927612,0.0,17.3205080757,19.0,23.0867927612,0.0,17.3205080757,0.0,17.3205080757,7.0,18.547236991,7.0,18.547236991,0.0,17.3205080757,24.0,24.899799196,15.0,22.8910462845,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,9.0,19.8997487421,0.0,17.3205080757,0.0,17.3205080757,88.0,62.1449917532,47.0,54.6808924579,41.0,34.4963766213,56.0,52.163205423,0.0,17.3205080757,56.0,52.163205423,0.0,17.3205080757,50.0,36.2491379208,28.0,28.7054001888,22.0,27.3861278752,0.0,17.3205080757,558.0,147.152981621,274.0,96.6074531286,75.0,46.7867502612,53.0,40.7062648741,22.0,27.0,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,53.0,41.1582312546,23.0,28.7228132327,9.0,19.8997487421,21.0,24.7790233867,0.0,17.3205080757,146.0,89.0898422942,53.0,59.6992462263,93.0,68.3593446428,164.0,107.410427799,28.0,34.9857113691,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,22.0,29.5972971739,34.0,35.902646142,80.0,101.336074524,79.0,53.0471488395,49.0,40.509258201,30.0,32.0156211872,11.0,22.8910462845,0.0,17.3205080757,0.0,17.3205080757,11.0,22.8910462845,30.0,32.6343377442,5.0,17.3205080757,10.0,22.1133443875,15.0,28.7228132327
Arlington,4,991.0,207.465659809,480.0,127.039363978,54.0,43.9772668546,5.0,16.7630546143,5.0,16.7630546143,0.0,17.3205080757,49.0,44.192759588,49.0,44.192759588,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,111.0,50.6951674225,0.0,17.3205080757,24.0,26.1533936613,22.0,25.3179778023,2.0,15.3622914957,52.0,38.7169213653,35.0,31.336879232,0.0,17.3205080757,83.0,48.3735464898,67.0,45.7165178027,16.0,19.2093727123,50.0,31.7804971641,0.0,17.3205080757,39.0,28.7228132327,11.0,20.6155281281,182.0,83.1685036537,111.0,74.0337760755,57.0,38.2883794382,14.0,25.3179778023,511.0,118.802356879,42.0,28.7228132327,12.0,18.0277563773,6.0,18.547236991,6.0,16.7630546143,8.0,18.547236991,8.0,18.547236991,0.0,17.3205080757,0.0,17.3205080757,8.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,2.0,14.6969384567,6.0,16.7630546143,14.0,16.8819430161,8.0,14.0356688476,6.0,17.3205080757,201.0,72.0347138538,86.0,51.7010638189,5.0,16.7630546143,5.0,16.7630546143,0.0,17.3205080757,45.0,34.6698716468,44.0,28.7228132327,21.0,20.9284495365,207.0,76.1183289359,83.0,45.9565011723,124.0,50.2493781056,20.0,35.902646142,0.0,17.3205080757,20.0,35.902646142,0.0,17.3205080757,41.0,37.148351242,30.0,32.939338184,11.0,22.1133443875,0.0,17.3205080757
Arlington Heights,5,80,57,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,80,57,19,31,0,10,0,10,0,10,19,31,0,10,19,31,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,33,31,13,22,0,10,0,10,0,10,9,14,11,16,0,10,28,44,28,44,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10
Banksville,6,2409.0,384.053381706,1194.0,258.09494377,429.0,181.256724013,194.0,112.929181349,57.0,55.0817574157,137.0,99.0201999594,72.0,80.311892021,60.0,77.5177399051,12.0,26.4575131107,0.0,20.0,145.0,120.341181646,0.0,20.0,30.0,49.1528229098,54.0,42.2610932183,61.0,71.7356257378,18.0,32.9241552663,18.0,32.9241552663,0.0,20.0,316.0,133.708638465,0.0,20.0,95.0,57.2450871254,11.0,25.7099202643,84.0,56.5773806393,90.0,64.3816744113,53.0,44.8107130048,78.0,95.4253635046,236.0,94.3927963353,139.0,73.4438561079,97.0,60.5144610817,60.0,51.8266340794,0.0,20.0,45.0,44.4409720866,15.0,30.4138126515,153.0,91.9945650569,13.0,28.0000000001,56.0,47.0425339454,84.0,76.7463354174,1215.0,244.329695289,726.0,213.742836137,328.0,148.3610461,164.0,104.004807581,164.0,105.721331812,74.0,78.7464284905,74.0,78.7464284905,0.0,20.0,0.0,20.0,152.0,84.9117188615,11.0,24.9799919936,16.0,31.2409987036,125.0,78.2559901861,0.0,20.0,172.0,126.487153498,172.0,126.487153498,0.0,20.0,298.0,150.203195705,18.0,33.7786915081,73.0,83.3606621855,11.0,24.9799919936,62.0,82.0060973343,96.0,76.5049018037,0.0,20.0,111.0,93.8349615016,177.0,81.6026960339,31.0,39.0128184063,146.0,73.3621155638,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,14.0,28.0000000001,0.0,20.0,0.0,20.0,14.0,28.0000000001
Bedford Dwellings,7,248,69,107,46,2,6,0,10,0,10,0,10,0,10,0,10,0,10,0,10,2,6,2,6,0,10,0,10,0,10,0,10,0,10,0,10,62,42,5,8,0,10,0,10,0,10,15,23,42,34,0,10,5,7,0,10,5,7,6,10,0,10,6,10,0,10,32,31,12,15,20,27,0,10,141,62,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,64,51,31,36,23,38,23,38,0,10,0,10,4,9,6,10,77,50,41,41,36,33,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10
Beechview,8,4046.0,420.083325068,2300.0,307.332067965,543.0,129.236217834,176.0,85.5043858524,73.0,52.7257053059,103.0,71.1688133946,157.0,65.5820097283,98.0,56.5597029695,38.0,37.9077828421,21.0,36.3318042492,180.0,70.2780193233,36.0,37.1079506305,40.0,43.2319326423,49.0,46.872166581,55.0,48.795491595,30.0,38.8072158238,8.0,32.6955654485,22.0,37.907782842,657.0,192.945588185,16.0,40.3608721412,123.0,60.0583050044,65.0,46.076024134,58.0,44.9332838773,338.0,147.766708023,136.0,81.0987052918,44.0,50.1697119785,329.0,101.01980004,166.0,79.3725393319,163.0,71.1898869222,322.0,118.237050032,0.0,31.6227766016,219.0,103.768974168,103.0,53.1507290637,449.0,138.841636407,186.0,88.6735586295,215.0,106.306161627,48.0,42.7434205463,1746.0,209.940467751,576.0,121.354851571,136.0,57.3585215988,69.0,43.2897216437,67.0,46.7118828566,40.0,45.6289381862,40.0,45.6289381862,0.0,31.6227766016,0.0,31.6227766016,223.0,77.1556867638,31.0,40.0624512481,35.0,40.7062648741,129.0,62.8092349898,28.0,39.3192065027,177.0,67.2681202354,104.0,52.8961246218,73.0,50.2891638427,333.0,101.813555089,57.0,50.0199960016,8.0,32.3109888427,0.0,31.6227766016,8.0,32.3109888427,150.0,68.7022561493,30.0,38.729833462,88.0,58.008620049,757.0,171.653721195,179.0,94.5092588057,578.0,147.424556977,12.0,36.0555127546,0.0,31.6227766016,0.0,31.6227766016,12.0,36.0555127546,68.0,47.4763098819,26.0,35.8329457344,20.0,37.2021504755,22.0,38.1182371051
Beltzhoover,9,866.0,214.114455374,418.0,135.495387376,22.0,32.9241552663,17.0,32.9241552663,17.0,32.9241552663,0.0,20.0,5.0,20.0,5.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,210.0,100.229736107,0.0,20.0,35.0,53.860932038,35.0,53.860932038,0.0,20.0,46.0,44.1021541424,129.0,82.9517932296,0.0,20.0,19.0,23.7697286481,0.0,20.0,19.0,23.7697286481,84.0,65.9848467453,0.0,20.0,84.0,65.9848467453,0.0,20.0,83.0,53.5817132985,44.0,49.1528229098,39.0,33.2114438109,0.0,20.0,448.0,127.738013136,170.0,74.2765104188,73.0,57.8013840665,26.0,29.5972971739,47.0,42.4381903479,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,71.0,46.8294778959,26.0,29.5972971739,26.0,42.6731765867,19.0,25.1594912508,0.0,20.0,26.0,29.2061637331,22.0,27.0185121723,4.0,20.0,112.0,59.2958683215,50.0,47.3814309619,0.0,20.0,0.0,20.0,0.0,20.0,34.0,35.2703841771,28.0,35.5105618091,0.0,20.0,160.0,107.470926301,54.0,54.4518135603,106.0,66.8056883805,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,6.0,21.0713075057,6.0,21.0713075057,0.0,20.0,0.0,20.0
Bloomfield,10,5484.0,387.371914315,2847.0,301.041525375,1478.0,236.588249919,470.0,130.904545376,272.0,85.3639268075,198.0,105.157025444,333.0,96.1301201497,198.0,79.4103267843,54.0,40.9633982964,81.0,47.2440472441,458.0,121.33424908,59.0,41.5090351611,45.0,36.4005494464,275.0,105.142760092,79.0,43.0464865,217.0,84.1011296,93.0,49.6185449202,124.0,71.6589143094,370.0,91.4877040919,96.0,51.0,34.0,34.8711915483,21.0,33.0454232836,13.0,31.7490157327,174.0,67.0671305484,66.0,38.9358446678,0.0,31.6227766016,601.0,147.21752613,222.0,73.9797269527,379.0,129.421791055,197.0,84.8940516173,0.0,31.6227766016,153.0,66.4078308635,44.0,60.2826674924,201.0,76.2561472931,76.0,43.520110294,66.0,60.5475020128,59.0,43.577517139,2637.0,256.251829262,1548.0,194.943581582,405.0,109.68591523,298.0,96.3068014214,107.0,57.236352085,249.0,88.6002257334,113.0,67.2086303982,33.0,44.6542271236,103.0,50.960769225,513.0,119.000000001,143.0,67.7495387438,4.0,31.0483493924,251.0,81.3941029806,115.0,58.9660919512,381.0,102.907725658,330.0,96.3690821789,51.0,41.0487515036,437.0,143.624510442,97.0,45.5302097515,22.0,32.7108544676,11.0,30.7408522978,11.0,33.5410196625,147.0,73.2393336943,26.0,44.9444101085,145.0,118.562219953,611.0,138.021737418,250.0,88.7524647545,361.0,104.172933145,6.0,31.9530906174,6.0,31.9530906174,0.0,31.6227766016,0.0,31.6227766016,35.0,36.0138862108,23.0,33.7786915081,0.0,31.6227766016,12.0,34.0
